quantity,rate
0.25020000,35833.60870000
0.01500000,35863.16697632
0.06500000,35863.16697633
0.02500000,35866.66636979
0.00670000,35873.20178934
0.10000000,35876.05981134
0.02790676,35932.65699997
0.07436119,35932.65699998
0.33397000,35932.65700000
0.12500000,35937.09388085
0.00001809,35948.00803940
0.00804600,35950.00000000
0.33894304,35965.22099998
0.28230000,35965.22099999
0.00650000,35965.22100000
0.93990000,35981.68416873
0.00050735,35981.68416874
0.00027695,35992.18412698
0.03193023,35995.00000000
0.00034813,35995.18790000
0.00028000,35996.26290000
0.00028069,35998.49216027
0.00028000,35998.72137650
0.00200000,35999.00000000
1.26593675,36000.00000000
