quantity,rate
0.04000000,35812.92388775
0.03708725,35812.33768668
0.04181013,35811.99999989
0.06500000,35809.42973774
0.12500000,35759.03441429
0.28230000,35759.03440700
0.93990000,35759.03439712
0.00084592,35759.03439711
0.19138934,35750.78269913
0.90191392,35700.00000000
0.01353466,35645.17171317
0.00314253,35641.18075929
0.01000000,35640.91000000
9.11610000,35624.97772951
0.00027404,35624.97772950
0.01000000,35621.80000000
0.00027695,35621.72063492
0.00027452,35563.28485977
0.00562731,35540.96255844
0.00168834,35537.85509744
0.01390031,35525.00000000
0.00027499,35501.69882548
0.26783814,35500.00000000
0.00294617,35481.45338100
0.00027547,35440.21944162
